ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.20773585637410483,0.016174475351969402,0.2570026024243553,0.30700474422590146,-4499.357480546988,-4385.642327697213,-3422.6911757313514,-3256.355164788178,-0.42556377708282,-0.4184838077364401,0.19751331129417382,0.18398459906551792,-0.35746077729963793,-0.3449947539505675,0.5026192257957002,0.5087829043392114
"(('regressor activation', 'tanh'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.0900269349416097,0.015514294306437174,0.39792874478534407,0.4527909108061605,-4451.953033826158,-4199.505079858079,-3542.9213769547946,-3205.615659946974,-0.5284956902831409,-0.49074819901472955,-0.10722544093174967,-0.08489621070885171,-0.3769154991959596,-0.3368510772487349,0.4728075987973816,0.5026293237021099
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",2.5483226776123047,0.012510458628336588,0.5920911639165268,0.6044087185521297,-3245.635412829522,-3044.8553922241686,-2671.035350349868,-2479.634423010037,-0.4747255822305756,-0.3882881714786086,-0.01089971948926694,-0.004497127779544307,-0.284696617117741,-0.25976457433622485,0.6242901870118297,0.6343351895606634
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",2.721080462137858,0.012993971506754557,0.5921771770250496,0.6044551806617167,-3244.8504492764823,-3044.402653833558,-2670.3339475591274,-2479.6178820092264,-0.47469376535507274,-0.38844271058223717,-0.010904938847799653,-0.004498338417985572,-0.2846218594523006,-0.2597624298172161,0.624296925114749,0.6343412221292262
"(('regressor activation', 'tanh'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.5396901766459147,0.01367489496866862,0.7124715449615872,0.8234662509707665,-3046.7857254904607,-2336.332739809619,-2279.19709049947,-1929.1384503180777,-0.3298998067958697,-0.30225761567048526,0.06586141312604803,0.027079464343720702,-0.24057628718326748,-0.20281695130870012,0.7435843926286226,0.8412433485345234
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.5198868115743002,0.015843550364176433,0.7257869946956826,0.9104247147035052,-2908.491987683241,-1686.0982125393218,-2112.423191992005,-1159.1447228947452,-0.31051152634271556,-0.15815520390808172,0.02178195833747698,0.01702534788006279,-0.2218832317912958,-0.12187419900856383,0.764092721996365,0.915275675637055
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.0631345113118489,0.010509093602498373,0.7357383375127965,0.999994748822625,-2941.4988855548872,-12.416997057418948,-2082.095466709344,-6.431520185865584,-0.24164302839619226,-0.0012067481630359455,-0.026664191998042416,-4.9509180616944107e-05,-0.219871099920909,-0.0006832073508737598,0.8015493324712836,0.999994757665747
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.0888895988464355,0.014999707539876303,0.7357383375127965,0.999994748822625,-2941.4988855548872,-12.416997057418948,-2082.095466709344,-6.431520185865584,-0.24164302839619226,-0.0012067481630359455,-0.026664191998042416,-4.9509180616944107e-05,-0.219871099920909,-0.0006832073508737598,0.8015493324712836,0.999994757665747
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.017297903696696,0.014506816864013672,0.7357383375127965,0.999994748822625,-2941.4988855548872,-12.416997057418948,-2082.095466709344,-6.431520185865584,-0.24164302839619226,-0.0012067481630359455,-0.026664191998042416,-4.9509180616944107e-05,-0.219871099920909,-0.0006832073508737598,0.8015493324712836,0.999994757665747
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.18207295735677084,0.020005544026692707,0.7639977318476502,0.8963394893901251,-2705.735371916801,-1224.8253912254502,-1914.7273795118474,-948.2050793605703,-0.27819500123076923,-0.14786221597662294,0.05354462282343166,0.038557573447926784,-0.20260889670026272,-0.09847395482466188,0.8139089431577909,0.914427243117013
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",2.76600710550944,0.013514359792073568,0.7880248631482694,0.9999813716761526,-2648.948776414112,-24.89213467627474,-1893.8352640965388,-16.014747316835223,-0.26405040670165386,-0.0028292552967639204,0.0036828761974291163,-3.9582627191825766e-05,-0.20047182031844968,-0.0016868895072075132,0.8237332148972308,0.9999813825964258
