GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 1))",0.6641555627187093,0.04419263203938802,0.6255995576528294,-663.9386970292411,-483.50565239426254,-0.0966062188067287,0.009059646069241251,-0.09993371890454843,0.6424853708604701
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 1))",0.5962210496266683,0.046541849772135414,0.6256028565290307,-663.93566440504,-483.50295147032585,-0.09660551894453878,0.009059700010652113,-0.09993316162870923,0.6424852982219292
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 1))",0.5704710483551025,0.04722714424133301,0.6256054951205745,-663.9332387060011,-483.50079013826735,-0.09660495891604502,0.009059743184443381,-0.0999327156875452,0.6424852400940017
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 1))",0.6668733755747477,0.04279009501139323,0.6256061541245308,-663.9326329071382,-483.50025047892973,-0.09660481905742435,0.009059753974237758,-0.09993260433857903,0.642485225048068
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.1))",0.654802401860555,0.04325707753499349,0.6263206461942343,-663.3032017385643,-481.11579716488563,-0.09608812384513375,0.008708189833701937,-0.09943135961646143,0.64234848844157
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 1))",0.6304500102996826,0.05019219716389974,0.6263377681074264,-663.270258719387,-482.9398600211287,-0.09648219336012305,0.008991148710128337,-0.0998167490917598,0.6432088549875105
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 1))",0.6470370292663574,0.05594619115193685,0.6263387504203849,-663.2705782396001,-482.9323354609901,-0.09647994593764526,0.008990912534737558,-0.09981513311485446,0.6432148167577955
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.1))",0.6451365152994791,0.04576849937438965,0.6268099753132037,-662.9529116971404,-481.08028015671204,-0.09608987536845853,0.008684078540518742,-0.09942273056764771,0.6430062178636893
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0))",0.6520698070526123,0.04395667711893717,0.6270054643319743,-662.7705817012621,-481.9377025054137,-0.09628355399920054,0.008854317413660232,-0.09960059428190403,0.6431308271966509
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.5917079448699951,0.04773799578348795,0.6270337452779517,-662.8959995259096,-482.32824257824296,-0.09637939600355372,0.00876699992501729,-0.09967929053904372,0.6432180207868323
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0))",0.6330157915751139,0.04159156481424967,0.6270369973146781,-662.8930358482099,-482.3262779893592,-0.0963789274811243,0.008767020140086552,-0.09967888804276813,0.6432179595345797
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0))",0.5882559617360433,0.04718677202860514,0.6270395984632225,-662.8906652897485,-482.32470613665276,-0.09637855262530766,0.008767036183258829,-0.09967856600931475,0.6432179105928961
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0))",0.3985287348429362,0.03951764106750488,0.6270402486221637,-662.8900728031857,-482.3243134938786,-0.09637845896380852,0.008767040307245186,-0.09967848556687235,0.6432178982979173
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.5))",0.6739154656728109,0.04400865236918131,0.6273455002008045,-662.1914985676173,-482.93426328714867,-0.09647586305126382,0.00898037576247028,-0.09981875285930004,0.6438510622613421
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.5))",0.7025908629099528,0.045845985412597656,0.6273780076269156,-662.1615816923118,-482.90770873184175,-0.09646912479630705,0.008980560702592844,-0.0998132687888299,0.6438499297944343
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.5))",0.6283072630564371,0.05070177714029948,0.6273846396017261,-662.1554594495926,-482.9021363268362,-0.09646771973270511,0.008980620823757746,-0.09981211927720839,0.643849905671258
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.1))",0.6232804457346598,0.04836479822794596,0.6274160134240211,-662.4032111994869,-480.5854451963243,-0.09604337282269382,0.008494824347184968,-0.09932038728759207,0.643852156780586
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.6264926592508951,0.04238104820251465,0.6274186988649012,-662.400832603989,-480.5847138606575,-0.0960431309656341,0.008494974994798772,-0.09932023822707424,0.6438518001444004
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.1))",0.6703862349192301,0.04167668024698893,0.6274273052594657,-662.3905729813472,-480.5814953978466,-0.09604322449987175,0.008490983685733935,-0.0993195946744625,0.6438604128204074
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.6177802085876465,0.05436865488688151,0.627428314506351,-662.3930991297236,-480.5848711093826,-0.09604328554625867,0.008493642983961823,-0.09932028048777945,0.6438642805417679
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.1))",0.5017924308776855,0.04985642433166504,0.6274289707149681,-662.3924987759043,-480.58459692329444,-0.0960432185607107,0.00849364517206429,-0.09932022490298181,0.6438642625789327
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.1))",0.6266076564788818,0.04687960942586263,0.6274454860134325,-662.3702157655439,-480.58972032885544,-0.09604486773908166,0.00849455535953481,-0.0993212560404324,0.6438718487256906
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.1))",0.8453380266825358,0.04703648885091146,0.6274520700611609,-662.3641930639434,-480.5869764166884,-0.09604419751425923,0.008494580534168197,-0.09932069972092931,0.6438716893213362
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.5))",0.6715513070424398,0.04685298601786295,0.6275696845425282,-662.0126083125258,-482.67112924126485,-0.09641738534946966,0.009009192220813957,-0.09976342752734542,0.6438982753459388
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.5))",0.6287728150685629,0.04728309313456217,0.6275763211357376,-662.0064822001472,-482.66712084351974,-0.0964164482981179,0.009009249351331421,-0.09976260803244248,0.6438983164710408
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.5))",0.5653200149536133,0.04885681470235189,0.6275796384442277,-662.0034200173541,-482.6651160153736,-0.09641597962259363,0.009009278066067767,-0.09976219815316005,0.6438983369210116
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.5))",0.6576183636983236,0.04242714246114095,0.6275822917475953,-662.0009707375947,-482.663512615275,-0.09641560479630507,0.009009300894653733,-0.09976187034695656,0.6438983529612051
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.5))",0.555168072382609,0.056178649266560875,0.6275829550341373,-662.0003584296295,-482.66311172854756,-0.0964155110736364,0.00900930663307123,-0.09976178838824139,0.6438983568824121
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.5))",0.8555192947387695,0.04686530431111654,0.6280297752638081,-661.6635084472647,-482.20085180833144,-0.09630934802300173,0.008979225639978857,-0.0996641688654019,0.644438711346953
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0))",0.6771222750345866,0.041573286056518555,0.6280363056204907,-661.9739516202513,-481.41592181154306,-0.09617913155783729,0.008797223462345781,-0.09949064287651364,0.6442205968553413
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0))",0.611732006072998,0.04618485768636068,0.6280429357053811,-661.9679118302957,-481.41184856087335,-0.0961781627933318,0.008797268424665177,-0.0994898080991185,0.6442206093649843
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0))",0.8027178446451823,0.05769888559977213,0.6280495620852726,-661.9618752500053,-481.4077755231048,-0.09617719404491414,0.008797313520810176,-0.0994889733639182,0.6442206201900168
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0))",0.6007638772328695,0.048656463623046875,0.6280561854081839,-661.9558411286675,-481.40370204001164,-0.09617622522657683,0.00879735849008068,-0.09948813853816445,0.644220629618032
"(('regressor num_leaves', 16), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",2.2460511525472007,0.04787317911783854,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 32), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.5699772834777832,0.04436675707499186,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 8), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.6495728492736816,0.044028520584106445,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 128), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.63786776860555,0.040694872538248696,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 256), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.7088867823282878,0.047644615173339844,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 64), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.6263666947682698,0.04200601577758789,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 4), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",1.02644149462382,0.04285311698913574,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 512), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",0.8672059377034506,0.04933659235636393,0.6422154980762782,-647.8960427970381,-463.92104046355945,-0.09375924200101167,0.010622867154425527,-0.09596568508350577,0.653860270622975
"(('regressor num_leaves', 256), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.7233602205912273,0.04604625701904297,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
"(('regressor num_leaves', 4), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.209429661432902,0.044529358545939125,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
"(('regressor num_leaves', 16), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.6562347412109375,0.04500206311543783,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
"(('regressor num_leaves', 128), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.6965433756510417,0.04521934191385905,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
"(('regressor num_leaves', 8), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.6546982129414876,0.04400316874186198,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
"(('regressor num_leaves', 32), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",1.6581961313883464,0.044854164123535156,0.6461229071753714,-643.7642945778003,-459.64247290576367,-0.0927751417025018,0.010993044909144914,-0.0950903335316105,0.6580247388803978
