ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.950504207611084,0.013597917556762696,-0.0473588607388379,-0.000286893901792773,-1216.8181568759808,-1225.0517610550487,-963.4623928913246,-952.5708705057863,-0.1981426794458787,-0.1959942091775677,0.002810929726454774,0.004887898048663511,-0.1922716942771682,-0.19040315178513062,0.30499645784252855,0.33382973975480745
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.06433629989624023,0.014210176467895509,-0.046383636266587036,-0.0009317900100208832,-1216.7126213989561,-1225.4556258465213,-963.8369670161849,-953.1104601982454,-0.19792392663340438,-0.19580736710660185,0.0044724732005384515,0.006542769613664864,-0.19233495236286635,-0.1905103652593293,0.05472134822047255,0.0018597685551816293
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.06352834701538086,0.013799381256103516,-0.04638356339415935,-0.0009318790655653775,-1216.7126249667017,-1225.4556812602793,-963.8370061845877,-953.1105161279344,-0.19792390266653595,-0.19580734642275083,0.004472650882176518,0.006542946710408344,-0.19233495893929933,-0.19051037637211826,0.0547214298036524,0.0018597815334401115
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.2853124141693115,0.013303279876708984,0.08734823001202818,0.3731054234508753,-1089.4522191068768,-968.4830871599064,-849.5399834564421,-732.814311767074,-0.17405122557147382,-0.14952969552120515,-0.018396737298218713,-0.0034615290253444788,-0.17046629331082236,-0.1463911130343424,0.2558977562635322,0.3868513093068252
"(('regressor activation', 'tanh'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.1959845542907715,0.015308809280395509,0.23206138911435675,0.41250907880947346,-1047.7415028334074,-924.7204237780181,-834.0102885990076,-695.7575091544193,-0.17319294090561801,-0.1449789845693051,-0.007319322917359228,-0.009816314491372578,-0.16664940369092524,-0.13891246026394669,0.29703381764914627,0.4298699372679279
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",7.701074504852295,0.015600299835205078,0.3703590361707474,0.9999822810977094,-894.3393380642883,-4.937655355529872,-594.3326348149296,-3.360980053422195,-0.12010991634113999,-0.0007311709867176656,0.0005719278868604558,1.7134797785443348e-06,-0.1181294383860543,-0.000671256465283461,0.6141238916788192,0.9999822988932345
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",7.599519300460815,0.016903114318847657,0.3703590361707474,0.9999822810977094,-894.3393380642883,-4.937655355529872,-594.3326348149296,-3.360980053422195,-0.12010991634113999,-0.0007311709867176656,0.0005719278868604558,1.7134797785443348e-06,-0.1181294383860543,-0.000671256465283461,0.6141238916788192,0.9999822988932345
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",7.730717563629151,0.013105010986328125,0.3703590361707474,0.9999822810977094,-894.3393380642883,-4.937655355529872,-594.3326348149296,-3.360980053422195,-0.12010991634113999,-0.0007311709867176656,0.0005719278868604558,1.7134797785443348e-06,-0.1181294383860543,-0.000671256465283461,0.6141238916788192,0.9999822988932345
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",3.707857847213745,0.012303018569946289,0.37419908336371954,0.9999851977393032,-886.701515639122,-4.658721116812926,-601.0250157301386,-2.870976129385693,-0.11991876197088518,-0.0006104310853421365,-0.0010311068237937044,1.3956246064317328e-06,-0.11994259574137893,-0.0005736538444384087,0.5965969796420509,0.999985218387015
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",3.734067916870117,0.011999559402465821,0.37419908336371954,0.9999851977393032,-886.701515639122,-4.658721116812926,-601.0250157301386,-2.870976129385693,-0.11991876197088518,-0.0006104310853421365,-0.0010311068237937044,1.3956246064317328e-06,-0.11994259574137893,-0.0005736538444384087,0.5965969796420509,0.999985218387015
