GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 3))",0.14512624740600585,0.012202310562133788,0.566431760095619,-786.7640193631487,-577.9821010247206,-0.11233251849376116,0.00423654804580201,-0.11522535879766711,0.5917140075759069
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 3))",0.14583301544189453,0.011798334121704102,0.566431845109367,-786.7639034993248,-577.9817711767306,-0.11233241288224474,0.004236570999772875,-0.11522529024349211,0.591713815005096
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 2))",0.13842315673828126,0.010801315307617188,0.5664468049044687,-786.4864814286168,-577.0610292416467,-0.11223650303824709,0.004381725242822711,-0.11505312191436723,0.5916255045846406
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 2))",0.14823875427246094,0.012398910522460938,0.5664468861687608,-786.4863719975644,-577.0606956054456,-0.11223639803289318,0.004381749317191215,-0.11505305262225929,0.5916253068234869
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 2))",0.157236909866333,0.011905336380004882,0.5664531809714459,-786.4808997000198,-577.0567386940996,-0.11223564730223416,0.004381843192449065,-0.11505221584502863,0.5916325942882861
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 2))",0.14782476425170898,0.011601066589355469,0.5678218140912537,-785.2534684616362,-576.1840579212799,-0.11201906632138783,0.004412814383009983,-0.11486885673383436,0.5928765937551226
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 2))",0.15603170394897461,0.010599422454833984,0.5678228228979844,-785.2521918011155,-576.180624885271,-0.11201798832126553,0.004413049866429215,-0.11486814351853696,0.5928748294286461
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 2))",0.1350334644317627,0.012402915954589843,0.5678402309407987,-785.2397495073607,-576.2012879015123,-0.11202509994996948,0.0044100602609143304,-0.1148723873667529,0.5929096495814155
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 5))",0.16223487854003907,0.01170206069946289,0.5680505472902931,-785.1164477888345,-578.6503884371143,-0.11264881330691992,0.003839166469831645,-0.11537737971634539,0.5944384396210719
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 5))",0.14593286514282228,0.0117034912109375,0.5680507407312904,-785.1162336039837,-578.6500502255446,-0.11264870717773352,0.003839187824072326,-0.11537730965000645,0.5944383131423793
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 5))",0.14942727088928223,0.011600065231323241,0.5681983167994519,-784.9868968244647,-579.008180277681,-0.11275876149738062,0.0039103648979436,-0.1154490060176605,0.5945696119201841
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 5))",0.14914236068725586,0.01190328598022461,0.5682002613933043,-784.9847461987745,-579.0048105540272,-0.11275770484859966,0.00391058171902401,-0.11544830783248121,0.5945683433734112
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 5))",0.16123075485229493,0.013199567794799805,0.5682013998309843,-784.9835201069739,-579.0029569196689,-0.11275712812035028,0.003910762308663738,-0.11544792324096212,0.5945677447443809
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 4))",0.16113338470458985,0.010802793502807616,0.5683150195211194,-784.9167701941977,-577.511590874514,-0.11236520426214987,0.003878335962181678,-0.1151457471356339,0.5933631676283933
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 4))",0.1517397403717041,0.011400461196899414,0.5683150576516164,-784.9158837652407,-577.5058966575664,-0.11236361320179253,0.0038835969199347794,-0.11514453948505263,0.5933624899917188
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 4))",0.14222593307495118,0.013205671310424804,0.5683167167090876,-784.9148616810696,-577.5080407996298,-0.11236410455068997,0.0038785411539505937,-0.11514501253547609,0.5933617692012902
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 4))",0.1518277645111084,0.011202430725097657,0.5683167505237711,-784.913978983804,-577.5023470511051,-0.11236251372806123,0.0038838030693052264,-0.11514380497460501,0.5933610882593141
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 4))",0.14992709159851075,0.011200761795043946,0.5683184410887063,-784.9120762566945,-577.4987975262678,-0.1123614142811337,0.003884009158898972,-0.11514307048452443,0.593359685879888
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 4))",0.1352221965789795,0.012702131271362304,0.5683187012431133,-784.9160352313617,-577.5238726923474,-0.11236869382039301,0.0038735483467156454,-0.11514813600452285,0.5933784271595789
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 4))",0.15873126983642577,0.01310272216796875,0.5683192860168751,-784.91112514943,-577.4970229039866,-0.11236086458273617,0.0038841121917794603,-0.11514270326444813,0.5933589848825813
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 4))",0.1494354248046875,0.011904764175415038,0.5683199616204431,-784.9103646440547,-577.4956030010051,-0.11236042479087142,0.003884194527909804,-0.11514240944945642,0.5933584238473164
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 4))",0.12242565155029297,0.021306800842285156,0.5683201302984798,-784.9101746824692,-577.4952480734322,-0.11236031483743196,0.0038842152665226554,-0.11514233600536086,0.5933582835743063
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 5))",0.15593042373657226,0.012005615234375,0.5686399314586412,-784.6518935082946,-578.7556657740121,-0.11264606034506372,0.004038801248398139,-0.11539520246319876,0.5944910674930041
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 5))",0.16653976440429688,0.011199331283569336,0.5688893028000694,-784.359335439644,-578.6655477493529,-0.11264835053790934,0.0040018494007455704,-0.1153769014486361,0.5949344048681471
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 5))",0.15972867012023925,0.01150197982788086,0.5688913110794652,-784.3571219374605,-578.662158534902,-0.11264728431588526,0.004002065537023075,-0.11537619916438371,0.5949332325627731
