GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 5))",0.628142515818278,0.04622260729471842,0.8457030825221511,-2074.9481865868006,-1549.8286671486194,-0.20643780821048263,-0.00413121087490958,-0.1666804570294572,0.8637109165419226
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 5))",0.6332266330718994,0.04653104146321615,0.8457032639851305,-2074.9469830836993,-1549.8280643853084,-0.2064378997028735,-0.004131209207380044,-0.16668039339550447,0.8637109674981781
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 4))",0.6360781987508138,0.04790854454040527,0.8472626905019912,-2064.5728869415166,-1544.0078443180657,-0.20682734988570398,-0.004065796263630455,-0.1660486730918165,0.8647590830117521
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 4))",0.6595269044240316,0.04533823331197103,0.8472719495710087,-2064.511175058769,-1543.972348922758,-0.20683075200595666,-0.0040644994334402594,-0.16604493313820032,0.8647624066627017
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 4))",0.8436329364776611,0.0429995059967041,0.847273759645859,-2064.4991095626174,-1543.9662758208708,-0.20683169080336983,-0.004064478219309884,-0.16604429050901579,0.8647629279302024
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 4))",0.5934828917185465,0.04768983523050944,0.8472755693259506,-2064.487046830362,-1543.96020305202,-0.2068326294859358,-0.004064457104670788,-0.1660436479120126,0.8647634489799954
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 4))",0.6743883291880289,0.044332265853881836,0.8472773789747149,-2064.47498407932,-1543.9541304360725,-0.20683356810344408,-0.004064435780253634,-0.1660430053342596,0.8647639700453561
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 4))",0.597874641418457,0.0490565299987793,0.8472791884274021,-2064.4629227302107,-1543.9480575630687,-0.2068345069326418,-0.00406441436922749,-0.1660423627235569,0.8647644909951749
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 4))",0.5846625963846842,0.04729421933492025,0.8472800930553849,-2064.4568926202805,-1543.9450217926699,-0.2068349764105559,-0.004064404036003625,-0.16604204150004667,0.8647647514441387
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 4))",0.638180653254191,0.04716793696085612,0.8472808170459579,-2064.4520666108,-1543.9425919294329,-0.20683535186685198,-0.0040643954560911,-0.16604178436895575,0.8647649600440636
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 4))",0.6150307655334473,0.055723985036214195,0.8472809977952508,-2064.450861794962,-1543.9419850989254,-0.2068354456784213,-0.004064393291561729,-0.16604172016370908,0.8647650120145812
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 3))",0.6439094543457031,0.04810523986816406,0.8478205918323584,-2060.74378948526,-1544.0020666942758,-0.20798884091613945,-0.004813613717941885,-0.1660665970723686,0.8644406285160803
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 3))",0.6151808897654215,0.04691537221272787,0.8478291533556613,-2060.6866898790718,-1543.9766092293728,-0.20799404080234965,-0.004813611871072344,-0.16606389657710638,0.8644430903700328
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 3))",0.7844467163085938,0.046701510747273765,0.8478308651356178,-2060.675273284472,-1543.9715179364223,-0.20799508071624795,-0.004813611524378513,-0.1660633565074933,0.8644435825490312
